TITLE	N2200
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/10/25
TIME	14:57:39
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.00138
MAXY	     0.15005
MINY	     0.00137
XYDATA
1600.0000	0.00137708
1599.5000	0.00137842
1599.0000	0.00137688
1598.5000	0.00137675
1598.0000	0.00137758
1597.5000	0.001379
1597.0000	0.00137576
1596.5000	0.00137435
1596.0000	0.00137637
1595.5000	0.00137765
1595.0000	0.00138361
1594.5000	0.00138529
1594.0000	0.00138868
1593.5000	0.00139053
1593.0000	0.00139424
1592.5000	0.0013975
1592.0000	0.00140237
1591.5000	0.00140363
1591.0000	0.00140971
1590.5000	0.00141162
1590.0000	0.00141579
1589.5000	0.00141547
1589.0000	0.00141595
1588.5000	0.00141502
1588.0000	0.00141555
1587.5000	0.0014147
1587.0000	0.00141743
1586.5000	0.00141768
1586.0000	0.00141579
1585.5000	0.00141598
1585.0000	0.00141846
1584.5000	0.00141976
1584.0000	0.00142256
1583.5000	0.00142465
1583.0000	0.00142913
1582.5000	0.00143302
1582.0000	0.00143427
1581.5000	0.00143776
1581.0000	0.00144122
1580.5000	0.0014422
1580.0000	0.00144107
1579.5000	0.00144476
1579.0000	0.00144638
1578.5000	0.00144611
1578.0000	0.0014479
1577.5000	0.00145012
1577.0000	0.00145057
1576.5000	0.00144957
1576.0000	0.00145206
1575.5000	0.00145415
1575.0000	0.00145474
1574.5000	0.00145736
1574.0000	0.00145999
1573.5000	0.00146325
1573.0000	0.00146422
1572.5000	0.00146425
1572.0000	0.00146668
1571.5000	0.00146807
1571.0000	0.00146702
1570.5000	0.00147229
1570.0000	0.00147317
1569.5000	0.00147279
1569.0000	0.00147599
1568.5000	0.00147659
1568.0000	0.00147629
1567.5000	0.00147512
1567.0000	0.00147671
1566.5000	0.00147816
1566.0000	0.00148126
1565.5000	0.00148266
1565.0000	0.00148207
1564.5000	0.00148433
1564.0000	0.00148396
1563.5000	0.00148662
1563.0000	0.00148901
1562.5000	0.00148855
1562.0000	0.00149128
1561.5000	0.00149186
1561.0000	0.00149321
1560.5000	0.00149488
1560.0000	0.00149452
1559.5000	0.00149693
1559.0000	0.00149828
1558.5000	0.0015004
1558.0000	0.00150253
1557.5000	0.00150368
1557.0000	0.00150268
1556.5000	0.00150122
1556.0000	0.00150247
1555.5000	0.00150433
1555.0000	0.00150876
1554.5000	0.00150803
1554.0000	0.00150909
1553.5000	0.001512
1553.0000	0.00151372
1552.5000	0.00151491
1552.0000	0.00151869
1551.5000	0.00152135
1551.0000	0.001522
1550.5000	0.00152202
1550.0000	0.0015262
