TITLE	n2200-mesi
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/12/23
TIME	11:10:52
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.01668
MAXY	     1.18733
MINY	     0.01668
XYDATA
1600.0000	0.0166804
1599.5000	0.0166834
1599.0000	0.0166994
1598.5000	0.0167018
1598.0000	0.0167203
1597.5000	0.0167198
1597.0000	0.0167243
1596.5000	0.0167192
1596.0000	0.0167272
1595.5000	0.0167226
1595.0000	0.0167267
1594.5000	0.016726
1594.0000	0.0167293
1593.5000	0.0167225
1593.0000	0.0167208
1592.5000	0.0167253
1592.0000	0.016737
1591.5000	0.0167408
1591.0000	0.0167515
1590.5000	0.0167509
1590.0000	0.0167637
1589.5000	0.0167693
1589.0000	0.0167872
1588.5000	0.016794
1588.0000	0.016814
1587.5000	0.0168235
1587.0000	0.0168463
1586.5000	0.0168521
1586.0000	0.0168623
1585.5000	0.0168669
1585.0000	0.016881
1584.5000	0.0168899
1584.0000	0.0168986
1583.5000	0.0169043
1583.0000	0.0169115
1582.5000	0.0169183
1582.0000	0.0169223
1581.5000	0.0169219
1581.0000	0.016922
1580.5000	0.0169153
1580.0000	0.0169066
1579.5000	0.0169013
1579.0000	0.0168902
1578.5000	0.0168841
1578.0000	0.016873
1577.5000	0.01686
1577.0000	0.0168446
1576.5000	0.0168273
1576.0000	0.0168036
1575.5000	0.0167811
1575.0000	0.0167784
1574.5000	0.0167699
1574.0000	0.0167667
1573.5000	0.0167539
1573.0000	0.0167458
1572.5000	0.016746
1572.0000	0.0167514
1571.5000	0.0167482
1571.0000	0.0167537
1570.5000	0.0167575
1570.0000	0.0167588
1569.5000	0.0167552
1569.0000	0.0167688
1568.5000	0.0167771
1568.0000	0.0167935
1567.5000	0.0168012
1567.0000	0.0168131
1566.5000	0.0168231
1566.0000	0.0168396
1565.5000	0.0168452
1565.0000	0.0168592
1564.5000	0.0168789
1564.0000	0.0169018
1563.5000	0.0169125
1563.0000	0.0169315
1562.5000	0.0169436
1562.0000	0.0169638
1561.5000	0.016976
1561.0000	0.0169909
1560.5000	0.0170016
1560.0000	0.0170172
1559.5000	0.0170315
1559.0000	0.0170439
1558.5000	0.0170515
1558.0000	0.0170595
1557.5000	0.0170713
1557.0000	0.0170792
1556.5000	0.0170791
1556.0000	0.0170716
1555.5000	0.0170729
1555.0000	0.0170825
1554.5000	0.0170932
1554.0000	0.017095
1553.5000	0.0170909
1553.0000	0.0170833
1552.5000	0.0170801
1552.0000	0.0170822
1551.5000	0.0170779
1551.0000	0.017071
1550.5000	0.0170646
1550.0000	0.0170615
